idx,유저,챗봇
23,흑흑 집에서는 자꾸 무릎이나 정강이 쪽 부딪혀서 멍이 들고 알바하다가는 팔에 멍드네요. 맞고 사는 줄 알겠어요.,저도 지금 여기저기 박고 다녀서 다리 엉망이에요. 이제 여름 되면 여기 모기 물린 자국이 추가되겠죠. 
24,집에서는 자꾸 무릎이나 정강이 쪽 부딪혀서 멍이 들고 알바하다가는 팔에 멍드네요. 맞고 사는 줄 알겠어요.,저는 가끔 저도 모르는 멍이 있어요. 어디에다가 부딪히고 다니는지 모르겠어요. 멍도 잘 드는 피부라 손가락으로 세게 누르기만 해도 가끔 멍이 남을 때가 있더라고요.
25,"아, 후추 너무 신경 쓰여요. 그것보다 후추 열매였군요.",먹는 후추 열매에요!
26,물 마실 때마다 목이 아프다면 병원 가봐야 하는 걸까요?,네. 마음대로 되는 건 아니지만 노력은 해보세요. 병원 잘 다녀오고 아프지 말고요.
27,물 마실 때마다 목이 아프다면 병원 가봐야 하는 걸까요?,얼른 나아야 할 텐데 왜 그럴까요. 아픈 게 얼른 낫길 바라요. 저는 뭔가 재미있는 꿈을 꾸긴 했던 것 같은데 기억은 안 나요. 근데 새벽 세 시 반이면 시간도 늦었는데 안 자고 뭐 하고 있었어요? 전날처럼 일찍 깬 것 같진 않은데요.
28,물 마실 때마다 목이 아프다면 병원 가봐야 하는 걸까요?,네. 최대한 빨리요.
29,고기 먹고 싶어요.,함께해요.
30,고기 먹고 싶어요.,나중에 고기 한 점 함께 하실래요? 
31,저 조울인가요?,우울감만 지속적으로 반복되는 것도 양극성 장애의 일종이에요. 정신과에 가셔서 자세히 상담을 받으시길 바라요.
32,누구 저랑 완벽한 일본 먹방 여행 가줄 친구 없나요? 관광지는 빼고 진짜 먹으러만 다니게요.,일본 가시나 봐요. 완전 부럽네요.
33,혹시 얼마인지 알 수 있나요? 그리고 해외로 보낼 수 있나요? ,아직 업체와 연락이 되지 않았기 때문에 가격은 정해지지 않았어요.
34,"식전 약, 식후 약, 약 알레르기 방지용 약이에요.",약 알레르기 방지용이요? 
35,새로 산 귀걸이가 정말 예뻐요.,"우와, 귀걸이 예뻐요!"
36,사탕 가게 아저씨 사탕 주세요.,아저씨라는 호칭도 나쁘지 않네요. 사탕 드실래요? 
37,짜장면이 2천 원이에요.,전체적으로 저렴하네요.
38,저 잘하면 일본 교환학생 갈 수 있겠는데요.,일단 자소서 써야 하는데 선생님이 오늘 알려주고 오늘 다 쓰라네요.
39,여름 선글라스 준비는 마치셨나요? 올해도 다양한 프레임과 아름다운 렌즈가 있어요.,안녕하세요. 와인색 테의 선글라스 완전 시선 강탈이네요. 혹시 가격대가 어느 정도 되는지 알 수 있을까요?
40,저도요. 아휴.A42,다 먹고 살려고 하는 일인데 귀찮아도 끼니는 꼭 챙겨 먹어요. 
41,그 시절 우리가 좋아했던 소녀였나 그거 또 보고 싶네요. 정말 재밌어요.,"아나, 저 그거 보고 분통 터져서 울뻔했어요. "
42,양궁카페 왔어요.,우와! 저도 다음에 한번 가봐야겠어요!
43,놀이공원 가고 싶어요.,저도요.
44,머리 아프고 계속 어지럽고 속 안 좋아서 오늘 그냥 가게에서 밥 안 먹고 바로 집 갈 거라 했는데 밥 먹고 나니까 갑자기 멀쩡해졌어요.  ,퇴근은 만병통치약이에요.
45,머리 아프고 계속 어지럽고 속 안 좋아서 오늘 그냥 가게에서 밥 안 먹고 바로 집 갈 거라 했는데 밥 먹고 나니까 갑자기 멀쩡해졌어요.  ,밥심이에요. 아프지마세요.
46,누구라도 좋으니까 고기 좀 먹어요.,사주세요.
47,누구라도 좋으니까 고기 좀 먹어요.,저도 고기 주세요.
48,"아, 회사 들어가기 싫어요.",저도 알바하러 돌아가기 싫어요.
49,이거 정말 마음에 들어요.  ,"와, 화장대 디자인이 아주 예쁘네요. 거울도 커서 화장하기 편할 듯해요! "
50,머핀이에요!,저도 머핀 좋아하는데요. 
51,"와, 우리 매장에 죠스바랑 수박바 떠먹는 거 있어요. 뭐죠? ","와, 너희 매장에 맛있는 거 파네요."
52,인터넷 숍이랑 매장들 일판 팩 가격 싹 다 올렸군요.,일산은 매장 몇 시까지 여나요? 
53,여행 가고 싶어요. 바다 보고 싶어요. ,저도요!
54,토요일에 엄마 서울 안 갈 수도 있다는데 어떻게 할래요? 원래대로 토요일 서울에서 만날래요 아니면 그래도 금요일 우리 집으로 올래요?,"그럼 그냥 금요일에 너희 집에서 자고, 서울 가신다 하면 얻어 타고 가고 아니면 그냥 가죠 뭐."
55,"대체 무인양품이라는 건 뭘까요, 가게 이름이겠지요? ",예. 일본브랜드인데요. 일부는 한국에도 들어와요.
56,주문한 하오리 왔어요! 이제 저도 하오리 있어요!  ,아주 예뻐요.
57,미술학원 가면 뭐 배워요? 저도 가고 싶어요. ,구마님 학원 가려고요? 
58,미술학원 가면 뭐 배워요? 저도 가고 싶어요. ,구마님 학원 가려고요? 
59,미술학원 가면 뭐 배워요? 저도 가고 싶어요. ,구마님 애니 학원 다니시려고요? 제가 2년 정도 다니고 있는데 혹시 궁금한 거 있으시면 물어보세요! 
60,미술학원 가면 뭐 배워요? 저도 가고 싶어요. ,선 긋는 거랑 또 무언가 배우는 모양이에요! 미술학원 다니는 친구가 연필 잡는 법 가르쳐주고 직선 긋는 거 가르쳐줬어요.
61,학교 다니면서 알바하는 사람 진짜 힘들겠네요.,그러게요. 나 힘들어요.
62,"오사카 갈 건데 편의점 음식 맛있는 거 쓸어 먹고, 하루종일 먹으면서 다닐 거예요. 간식도 많이 사 올 거예요. ",첫 답글이지만 일본의 편의점은 먹을 게 상당히 많더라고요! 조각 케이크도 팔아서 먹어봤더니 상당히 맛있고요! 근데 도시락 종류 몇몇 개는 살짝 짠 게 있어요.
63,여러분 리샐버거 어디 거예요? 맘스터치 거 아닌가요? 메뉴판에 없길래 발걸음을 쌀국수집으로 옮겼어요. ,맘스터치 맞아요.
64,여러분 리샐버거 어디 거에요? 맘스터치 거 아닌가요? 메뉴판에 없길래 발걸음을 쌀국수집으로 옮겼어요. ,맘스터치 맞아요.
65,여러분 리샐버거 어디 거에요? 맘스터치 거 아닌가요? 메뉴판에 없길래 발걸음을 쌀국수집으로 옮겼어요. ,맘스터치 맞아요.
66,커피를 마셨더니 지금 식은땀 나고 세상이 빙빙 돌아요. 왜 매번 까먹고 먹는 걸까요.,카페인이 몸에 안 맞는가 봐요. 커피 외엔 괜찮으세요?
67,커피를 마셨더니 지금 식은땀 나고 세상이 빙빙 돌아요. 왜 매번 까먹고 먹는 걸까요.,조심하셔요! 노카페인이에요!
68,고기 먹고 싶어졌어요.,오빠 저랑 같이 파스타 집 갈래요?
69,고기 먹고 싶어졌어요.,오빠 저랑 같이 파스타 집 갈래요?
70,제가 사고 싶은 게 있는데요. 어떡하죠. 돈은 있는데 좀 고민되어서요. ,고민하는 이유가 가격뿐이라면 고민하지 말고 사라고 했습니다.
71,앨범 현장예약 해줄 사람 있나요?,내가 해줄까요?
72,앨범 현장예약 해줄 사람 있나요?,내가 해줄까요?
73,망했어요. 나 20만 원 잃어버렸어요.,20만 원이 아니라 30만 원이었어요.
74,망했어요. 나 20만 원 잃어버렸어요.,어디서요?
75,망했어요. 나 20만 원 잃어버렸어요.,정말요?
76,망했어요. 나 20만 원 잃어버렸어요.,어쩌다가요?
77,망했어요. 나 20만 원 잃어버렸어요.,이게 무슨 일이에요. 어떡해요. 올려놓으신 근처나 가구 밑이랑 보셨나요? 
78,집 가고 싶어요. 허리가 너무 아파요,쿄카님 힘내세요.
79,집 가고 싶어요. 허리가 너무 아파요,일하는 중이에요?
80,동네 마실은 편한 게 최고죠.,편해요. 슬리퍼 질질 끌고 나왔어요.
81,동네 마실은 편한 게 최고죠.,편해요. 슬리퍼 질질 끌고 나왔어요.
82,고깃집 할 때 우리 가게 김치말이 국수 진짜 인기 많았는데 비결은 안 알려줄 거예요!,비법은 아주 맛있는 김치일까요! 확실히 자취하면서 사 먹는 김치로 해 먹는 김치말이 국수는 맛이 없던데요.
83,고깃집 할 때 우리 가게 김치말이 국수 진짜 인기 많았는데 비결은 안 알려줄 거예요!,저도 오늘 김치말이 국수 성공했어요. 비결은 안 알려줄 거예요.
84,냉동 가래떡 어떻게 하면 말랑하게 잘 먹을 수 있을까요? 잘못 구우면 겉이 딱딱해서 못 먹겠던데요.,"어, 뜨거운 물에 중탕시키는 건 어때요?"
85,주말에 친구랑 부산 데이트가고 싶었는데 엄마가 고3이라고 못 가게 하네요. 시험 끝났는데 가게 해줘요. 그놈의 고3 뭐길래요.,몰래 가는 것도 추억이 될 거 같아요.
86,오늘 치킨 시켜 먹고 싶은데 속이 기름진 거 안 받을 듯해요. 다음에 먹어야겠어요. ,속이 왜요?
87,우리 내일이면 안녕이에요.,아쉬워요?
88,우리 내일이면 안녕이에요.,벌써요? 아쉽네요. 저희 벌써 헤어지다니 좀 더 있고 싶어요.
89,진짜 저랑 조개구이랑 곱창 먹어 주실 분 구해요.,곱창이요!
90,진짜 저랑 조개구이랑 곱창 먹어 주실 분 구해요.,곱창 정말 맛있어요.
91,똥 마려운데 집에 좀 가게 해줘요.,노상방변 하면 안 돼요!
92,에코백 만들고 싶어요. 신물과 원목 가구들을 잔뜩 가지고 싶어요. 이쁜 조명도요.,저도 에코백 만들고 싶어요. 빨리 자수 배워서 에코백에 자수 박아야겠어요.
93,에코백 만들고 싶어요. 신물과 원목 가구들을 잔뜩 가지고 싶어요. 이쁜 조명도요.,저도 원목 가구들 잔뜩 들이고 싶은 마음이에요. 돈 많이 벌어야겠어요!
94,티켓 아직도 구하시나요?,네. 아직 구하는 중이에요. 
95,티켓 아직도 구하시나요?,네. 아직 구하는 중이에요. 
96,티켓 아직도 구하시나요?,네. 아직 구하는 중이에요. 
97,오늘 점심때 먹은 불 주꾸미덮밥 엄청 맛있었어요. 또 먹고 싶어요. 내가 만들면 이 맛이 안 나요.,주꾸미 먹고 싶어요.
98,계란 후라이 해봐요.,이건 할 수 있죠? 
99,계란 후라이 해봐요.,이건 할 수 있죠? 
100,계란 후라이 해봐요.,이건 할 수 있죠? 
101,방 탈출 카페 가보고 싶어요.,정말 재밌어요. 근데 비싸서 여러 명 가는 게 좋아요. 
102,살려주세요. 집 가고 싶어요.,무슨 일이에요.
103,용산역이에요! 이제 떠나요!,우와! 행복한 금요일 되세요!
104,용산역이에요! 이제 떠나요!,잘 다녀오세요!
105,누가 나 머리 감겨주세요.,예랑이 머리 안 감으면 머리가 가래떡으로 변하는 마법을 겪게 될 거예요.
106,혹시 가격이 얼마 정도 하는지 알 수 있을까요? ,선점 끝났나요?
107,저도 고기 먹고싶어요.,사빈님 고기 맛있어요. 소고기는 두꺼운 게 맛있어요. 고깃집 가고 있어요!
108,내일 일 갈 생각하니 우울해요.,일해야 해요.
109,내일 일 갈 생각하니 우울해요.,힘내셔야 돼요! 아자 아자! 
110,님 내일 몇 시까지 놀 거예요?,저 6시에 알바 가니까 한 5시 반이요.
111,오늘 아직 한 끼도 못 먹었어요. 그리고 아무것도 안 먹었는데 배는 왜 아프죠? 집에 빨리 가게 해주세요.,까맛님 끼니는 잘 챙기셔야 할 텐데요. 빈속에 스트레스 많이 받거나 몸이 많이 피곤하면 속 쓰리더라고요. 우유라도 드시는 게 어떨까요? 
112,오늘 아직 한 끼도 못 먹었어요. 그리고 아무것도 안 먹었는데 배는 왜 아프죠? 집에 빨리 가게 해주세요.,"아니, 우리 까맛님 왜 못 드셨어요?"
113,"해장국으로 콩나물국이라도 끓이려고 냉장고를 뒤져봤지만, 콩나물은 없었어요. ",콩나물국 없으면 계란국이나 미역국도 괜찮아요!
114,배고프니 새우깡 먹어야겠어요.,제 배 부름 좀 가져가 주세요.
115,대구 시내 근처 아는 곳은 역시 동산병원 뒤 선교사의 집 산책로뿐인데 예쁜 촬영지 어디 어디 있을까요?,계명대 캠퍼스 어때요?
116,같은 브랜드끼리 모으는 게 좋을까요?,색깔별로요!
117,같은 브랜드끼리 모으는 게 좋을까요?,케이스 색상이랑 모양대로요!
118,나 집 좀 가게 해줘요.,택시 좀 잡혔으면 좋겠어요.
119,연어 먹고 싶어요.,제 연어샐러드 보실래요?
120,연어 먹고 싶어요.,제 연어샐러드 보실래요?
121,내일 학교 가게 일찍 자요.,뭐예요. 다정하네요.
122,아 목감기 때문에 진짜 죽을 거 같아요.,병원 가요.
123,갑자기 핫초코가 너무너무 마시고 싶어요.,나 달달한 거 너무 땡겨요.
124,내일 점심 뭘 먹을까요?,저도 매일 점심마다 메뉴 고민하는데 정작 가는 곳은 편의점 아니면 맥도날드에요. 
125,내일 노래방 꼭 갈 거예요.,내일요?
126,뿌동님 진짜 죄송한데 내일 우체국 못 가게 되면 6월 2일 이후에 보내드리게 될 것 같은데 괜찮을까요?,네. 가능해요! 
127,쓰레기가 산더미인데 업체 부르기 미안해서 못 부르겠는데 불러도 될까요?,부르세요. 저도 불렀어요. 돈을 주는데 뭐가 미안해요!
128,쓰레기가 산더미인데 업체 부르기 미안해서 못 부르겠는데 불러도 될까요?,부르세요. 저도 불렀어요. 돈을 주는데 뭐가 미안해요!
129,어제 분명 3시간만 자고 일어나야지 하고 누웠는데 정신 차려보니 아침이에요.,바보네요.
130,좋은 아침이에요!,좋은 아침이에요!
131,앞으로 13시간만 있으면 집 가요.,저도요. 집 가고 싶어요.
132,저번에 1년 치는 무슨 2년 치 주사 다 맞았다고 생각했는데 6대 또 맞네요. 나 죽겠어요.,괜찮아요?
133,저번에 1년 치는 무슨 2년 치 주사 다 맞았다고 생각했는데 6대 또 맞네요. 으억 나 죽겠어요.,에? 어디 아프세요?
134,저번에 1년 치는 무슨 2년 치 주사 다 맞았다고 생각했는데 6대 또 맞네요. 으억 나 죽겠어요.,많이 안 좋아요?
135,하와이 가고싶어요.,니토도 데리고 가세요.
136,염색 제일 무난하고 안 튀는 색 추천 좀 해주세요.,애쉬 그레이요.
137,이거 꼭 사야하는 거 아닌가요?,이번에 새로 나온 아바타인가요?
138,오늘 태양도 역시 뜨거워요.,너무 더워서 지쳐요.
139,통장 찢어졌나 봐요. 돈이 자꾸 새요. 잔고가 이럴 리가 없는데 이상하네요.,가계부라는 통장일기가 필요하시겠군요.
140,이 차는 오래오래 잘 타야겠어요.,차 바꾸셨나 봐요? 
141,우쿨렐레 비싸요?,"아니요. 할인해서 49,000원 이길래 사버렸어요."
142,3주 만에 맛있는 거 먹어요.,먀님 맛있게 드셔요.
143,무인양품에서 침대를 사려고 하는데 좋나요? ,좋아요!
144,노래방 가고 싶어요.,노래방 갔다 왔는데 목이 나갔어요.
145,노래방 가고 싶어요.,나도요.
146,남자친구 생일이라 밥 먹으러 나왔어요.,역시 생일엔 맛난 거죠!
147,님들 저 어떡해요. 코피 때문에 응급실 가게 생겼어요.,만두님 괜찮으세요?
148,그러고보니 요새 작약도 피는 시기였네요.,작약? 꽃이에요?
149,그러고보니 요새 작약도 피는 시기였네요.,이제 작약은 지고 씨앗이 생겼죠.
150,심심해요. 병원 갔다가 뭐할까요?,피자 먹어요.
151,심심해요. 병원 갔다가 뭐할까요?,피자 먹어요.
152,어디 나갈까요?,바람 쐬는 거 좋죠.
153,오늘 제발 무사히 집에 가게 해주세요.,잘 도착했어요?
154,이러다가 제 가게가 망해버리는 건 아닐까요? ,어쩌면 좋아요. 오늘은 손님이 없어요. 이렇게나 사탕이 많은데 말이에요!
155,토요일 저녁 어떻게 할래요?,맛있는 데 있어요?
156,뭘까요. 트위터 왜 이러죠. 와이퍄이가 이상한 건가 핸듀폰이 이상한 건가 트위터가 이상한 건가 뭐죠?,저도 막 튕겨서 껐다가 다시 켰어요.
157,완전 내 스타일인데 과즙 넘치고 포도 맛 완전히 사랑해요.,맛있는 우유를 먹어야 되겠어요.
158,작년에 통일 야영할 때 고기 구워 먹었는데 역시나 란별이가 다 먹었어요. ,전 부대찌개 같은 거 먹었어요. 소시지를 숟가락으로 썰어서 끓였어요.
159,약간 씨컬로 쫙 펴졌어요. 너무 좋아요.,머리 하셨나요?
160,저만 티켓 안 왔어요.,저도 안 왔어요.
161,저만 티켓 안 왔어요.,저는 평생 안 올 거 같아요.
162,우리 응원봉 가격 아직 안 나왔죠? ,안 나왔어요.
163,저 꿈 수학교사에요.,저도요.
164,저 꿈 수학교사에요.,"오, 수학 잘하나 봐요. 멋져요."
165,저 꿈 수학교사에요.,멋져요.
166,저 꿈 수학교사에요.,멋져요.
167,거래 됐나요?,아니요. 아직이요.
168,갑자기 일정 잡혀서 다음 주 월요일부터 당장 출장을 가야 해요.,아이고. 풋잠님 일정이 어떻게 이래요.
169,갑자기 일정 잡혀서 다음 주 월요일부터 당장 출장을 가야 해요.,아이고. 풋잠님 일정이 어떻게 이래요.
170,"와, 오늘 삼만 보 가까이 걸었어요. 어쩐지 다리가 아프더라고요.",반달님 고생하셨어요.
171,"와, 오늘 삼만 보 가까이 걸었어요. 어쩐지 다리가 아프더라고요.",너무 많이 걸으셨는데 빨리 짧게라도 족욕 하시고 아니면 다리 스트레칭이라도 해요. 그래야 잘 때 다리 안 저리고 푹 잘 수 있어요.
172,"와, 오늘 삼만 보 가까이 걸었어요. 어쩐지 다리가 아프더라고요.",침대에 누워서 푹 쉬셔요. 제가 달려가서 마사지해드리고 싶네요.
173,집에 언제 가죠.,집에서 멀어요?
174,집에 언제 가죠.,어딘데요?
175,집에 언제 가죠.,늦었어요. 밤길 위험해요.
176,집에 언제 가죠.,어딘데요?
177,집에 언제 가죠.,빨리 가요.
178,"아, 모기 문 데 또 문 거 같아요.",여기도 벌써 모기가 나와서 죽겠네요.
179,아직도 퇴근 두시간이나 남았어요.,에? 아직 퇴근 못 하셨어요?
180,아직도 퇴근 두시간이나 남았어요.,너무 늦네요!
181,"아, 진짜 노래방 가고 싶어요.",전 갔다왔어요~
182,왜 전 아직도 집이 아닐까요?,저도요.
183,안 졸린 사람 이리 와 봐요. 제가 무서운 이야기 해줄게요.,싫어요.
184,3층 가격만 나온 거예요? 다른 가격은 없는 거예요?,다 나와 있는데요? 3층 제외하고 나머지 11만 원이에요!
185,졸려요. 피곤해요. 심심해요.,심심하신가요?
186,졸려요. 피곤해요. 심심해요.,주무시면 되는 거예요.
187,졸려요. 피곤해요. 심심해요.,그래도 주무셔야죠! 시간이 늦었다고요!
188,전 제가 가계부 쓰면 덜 쓸 줄 알았는데 아니에요. 그냥 평소대로 쓰고 그걸 적는 것뿐이에요.,공감이에요. 게다가 며칠 안 써서 밀린 거 확인할 때 도무지 어디에다가 썼는지 기억이 안 날 때가 더 많아요.
189,"날씨 너무 좋아서 늘어지고 귀찮은 일 해결했고, 아침에 샤워해서 보송보송 기분이 좋아요.",와 집이네요. 좋겠어요. 저는 수업중이에요.
190,물음표 몇백 개가 머릿속을 스쳐 지나가요.,모모쟌 왜 그래요?
191,물음표 몇백 개가 머릿속을 스쳐 지나가요.,일단 푹 쉬어요.
192,님들 여드름 패치 같은 거 어디서 사나요?,화장품 가게요.
193,일단 자야겠어요. 그리고 병원 가야겠어요.,밤밤이 어디 아파요?
194,이 서글픔과 화를 누군가에게 풀고 싶어요.,휴지에 킁하고 풀어요.
195,세시간 자고 일어나서 가게 열어야 하는데 일어날 수 있겠죠?,못 일어나시는 거 아니죠?
196,자다가 역 놓쳤어요.,어디가요?
197,10시 비행기인데 아직도 7시 반이에요.,어디 가시는데요?
198,자고 일어나서 하는 일이 씻고 엽떡 시켜먹기에요.,너무 부러워요.
199,자고 일어나서 하는 일 씻고 엽떡 시켜먹기에요.,맛있겠네요.
200,자고 일어나서 하는 일 씻고 엽떡 시켜먹기에요.,맛있겠네요.
201,안녕하세요. 컴퓨터 견적 문의드리려고 답글 남겨요. 가격은 최대한 낮게 해주시고 gta5  검은사막 등의 고사양 게임 상옵으로 렉 안 걸리고 돌아가게 하려면 견적이 어떠면 좋을까요? ,안녕하세요. 영화나 드라마 노래 저장 많이하시나요?
202,안녕하세요. 컴퓨터 견적 문의드리려고 답글 남겨요. 가격은 최대한 낮게 해주시고  gta5  검은사막 등의 고사양 게임 상옵으로 렉 안 걸리고 돌아가게 하려면 견적이 어떠면 좋을까요? ,안녕하세요. 영화나 드라마 노래 저장 많이하시나요?? 
203,저도 일 가기 싫어요. 일자목 때문에 머리도 너무 무거워서 집에서 그냥 눕고 싶어요.,언니. 목 안마라도 받아야 하는 거 아니에요?
204,포토샵 가격 얼마나 해요? 그냥 살까요.,어도비 홈페이지 가시면 패키지 월마다 분할 납부해서 1년 단위로 사용하실 수 있어요. 
205,와 나 배가 이렇게 많이 나왔었나요?,제 이야기 해요?
206,너무 귀찮아서 카메라 두고 나왔어요.,카메라에 투자해놓고 왜 안 쓰시는 거죠?
207,지금 일어나버렸어요. 그냥 1시간만 기다렸다가 점심을 먹어야겠네요.,점심은 맛있대요? 늦잠 자도 괜찮아요! 혼내는 사람 없어요! 
208,이벤트 당첨됐는데 행사 못 가게 돼서 답글 써요.,그러시군요. 그럼 나머지 한 분 다시 뽑을게요.
209,토오루 오늘도 좋은 하루 보내요. ,네. 유려쨩도 오늘 하루도 운 좋은 하루가 되길 바라요.
210,오! 점심시간이에요!,메뉴는요?
211,요새는 제법 덥군요. ,바람이라도 불게 해드려요? 
212,주말인데 뭐해요?,주말이어서 게임해요. 다이치는요?
213,뭐라도 먹어야 할 텐데 좀 일으켜서 밥하러 가게 해주실 분 있나요?,드셨나요?
214,와플이 당겨서 사 먹었어요.,엄청 맛있겠네요!
215,일본 가서 꼭 먹어야 할 베스트 7 올려주세요. ,닭꼬치 집이요.
216,일본 가서 꼭 먹어야 할 베스트 7 올려주세요. ,메론소다요.
217,일본 가서 꼭 먹어야 할 베스트 7 올려주세요. ,야끼니꾸요.
218,일본 가서 꼭 먹어야 할 베스트 7 올려주세요. ,오차즈케 어때요?
219,일본 가서 꼭 먹어야 할 베스트 7 올려주세요. ,우동이요.
220,일본 가서 꼭 먹어야 할 베스트 7 올려주세요. ,호르몬이요.
221,과자 딱 절반만 먹으려고 했는데 정신 차려보니까 없어요.,계속 먹게 되는 과자에요.
222,밥 먹으러 왔어요!,페니님 맛나게 드셨어요?
223,뭐해요?,졸아요.
224,굉장히 오묘한 맛이에요.,맛이 이상해요?
225,2.5 3.0 이렇게 적혀있으면 이만 오천 원이라는 거죠? ,어? 아닌가요? 삼천 원이에요?
226,B,C
227,점심은 잘 챙겨 먹었나요? 저는 지금 가게에서 일하는 중인데 오늘도 역시 피곤하군요. ,네! 점심 잘 챙겨 먹었어요! 주말도 일하시니 피곤하시겠네요.
228,노트북 사야 되는데 노트북에 대해 잘 몰라서 미치겠어요.,어디에 쓰시려고요? 가격은 어디까지 생각하세요?
229,부산에서 서울 올라가는 버스 얼마 해요?,일반이 만육천오백 원인가 해요. 왕복이 3.7이거든요.
230,부산에서 서울 올라가는 버스 얼마 해요?,삼만 원? 이만오천? 정도 해요.
231,부산에서 서울 올라가는 버스 얼마 해요?,우등은 3만 원 넘고 청소년은 만팔천 원이에요.
232,부산에서 서울 올라가는 버스 얼마 해요?,네. 저번에 갈려고 봤는데 청소년 만팔천 원이던데 보고 놀랐어요. 근데 일반 버스는 시간대가 많이 없어요. 잘 찾아보면 좋은 게 있으니까 미리 예약하세요!
233,사고 싶은 거 욕실용 블루투스 스피커에요.,저도요.
234,어제 손가락 찧어서 곧바로 시퍼렇게 멍이 들었는데 금이 가거나 그런 건 아니겠죠. 아직도 아프네요.,혹시 부어올랐나요?
235,집 가고 싶어요.,언제까지 하는데요?
236,집 가고 싶어요.,집 아니에요?
237,염색하는데 두피 아파요.,안녕님 무슨 색으로 하시나요?
238,염색하는데 두피 아파요.,저도 염색 하고 싶네요. 두피 아프시면 안 돼요. 
239,뭐해요?,누워있어요.
240,뭐해요?,보고 싶어요.
241,가정폭력 당하면 진짜 어떻게 해야 해요?,"일단 상담받을 수 있는 기관으로는 1366의 한국 여성의 전화와 1577-9337의 건강가정지원센터 같은 곳 있어요. 털어놓는 것뿐 아니라 원하신다면 실질적으로 어떻게 해야 하는지도 아마 조언을 주실 거예요. 가족 욕은 제 얼굴에 침 뱉기라고들 해서 털어놓기 쉽지 않지만, 그 누구도 가정 내에서 고통받고 피해받아야 할 이유 없고 그래서는 안 되는 거잖아요. 힘들 땐 트위터든 어디든 속 시원히 털어놓고 순님이 무너지지 않고 씩씩해야 뭐든 해결할 가능성이라도 생기는 거니까 너무 미안해하지 마시고 제가 뭐 도와드릴 수 있는 부분은 없지만 그래도 하루빨리 폭력에서 벗어나 마땅히 누려야 할 평화 누릴 수 있도록 기도하고 있을게요. "
